product_id,quantity
104,93
104,16
101,45
101,16
103,25
105,29
104,83
104,44
102,74
102,59
104,36
104,79
101,67
101,76
102,39
104,60
102,16
101,88
105,40
101,11
104,35
104,54
105,71
103,33
103,69
101,91
104,85
105,64
101,42
104,84
104,46
105,21
102,64
102,26
103,93
105,71
102,47
104,94
104,53
104,40
101,58
103,96
102,48
104,31
105,58
104,67
103,80
104,90
102,87
104,35
105,87
103,73
102,31
104,99
105,75
105,51
101,29
101,33
101,88
104,36
102,68
104,34
104,36
101,27
101,61
105,58
101,89
105,26
105,73
105,72
102,99
101,22
102,29
101,93
101,54
105,39
103,58
103,82
105,93
103,11
103,56
102,17
101,85
104,53
101,79
101,77
101,30
103,98
103,81
101,50
105,98
103,21
105,75
102,92
104,35
105,54
103,57
103,78
101,61
102,66
